City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Bedong,MY,88.36,overcast clouds,5.7274,100.5088,Hotel Akasia
410,Hami,CN,85.89,broken clouds,42.8,93.45,Laoyutang Resort
411,Oistins,BB,78.46,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
416,Prado,BR,72.43,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
417,Wanning,CN,78.42,overcast clouds,18.8003,110.3967,Paradise Hotel
419,Lakatoro,VU,83.43,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
422,Kankan,GN,75.09,broken clouds,10.3854,-9.3057,Hotel Bate
423,Acarau,BR,78.26,overcast clouds,-2.8856,-40.12,castelo pizzaria
424,Biak,ID,83.68,broken clouds,-0.9131,122.8766,Penginapan Kim
432,Numan,NG,82.08,light rain,9.4667,12.0333,Zangun Motel
435,Vao,NC,75.49,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
437,Sangin,AF,78.69,clear sky,32.0728,64.8359,
444,San Felipe,VE,74.16,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
445,Varkkallai,IN,89.38,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
447,Tefe,BR,73.36,overcast clouds,-3.3542,-64.7114,Aracati Hotel
451,Taunggyi,MM,75.09,broken clouds,20.7833,97.0333,True Treasure Hotel
452,Metro,ID,87.67,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
453,Benjamin Constant,BR,73.47,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
454,Choix,MX,74.93,overcast clouds,26.7092,-108.3219,Hotel Montesclaros
459,Bokoro,TD,86.97,broken clouds,12.3807,17.0568,
462,Cayenne,GF,77.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
466,Guliston,UZ,70.59,overcast clouds,40.4897,68.7842,Sadafhotel
467,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Alize Plage
469,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
470,Bushehr,IR,79.45,clear sky,28.9684,50.8385,Yas Hotel
472,Sinnamary,GF,75.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
474,Liaozhong,CN,82.45,broken clouds,41.5061,122.7242,Bishuiwan Hotel
476,Faranah,GN,73.54,clear sky,10.0404,-10.7434,Chez mon oncle
478,Ternate,ID,85.12,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
480,Filingue,NE,85.03,broken clouds,14.3521,3.3168,
487,Gushikawa,JP,72.63,light rain,26.3544,127.8686,Kirari Guest House
493,Caravelas,BR,71.65,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
498,Belmonte,BR,74.34,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
499,Pontalina,BR,70.63,broken clouds,-17.525,-49.4472,Hotel Entre Rios
503,Dibulla,CO,79.52,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
504,Linguere,SN,70.34,overcast clouds,15.3953,-15.1193,AYO Casablanca
505,Pascagoula,US,77.04,clear sky,30.3658,-88.5561,Regency Inn
507,Kidal,ML,79.5,clear sky,18.4411,1.4078,
508,Muscat,OM,87.82,clear sky,23.6139,58.5922,Mutrah Hotel
509,Takoradi,GH,79.57,broken clouds,4.8845,-1.7554,Raybow International Hotel
511,Kroya,ID,85.91,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
514,Lazaro Cardenas,MX,76.24,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
515,Lang Son,VN,81.82,scattered clouds,21.8333,106.7333,
516,Pagudpud,PH,85.05,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
519,Thinadhoo,MV,79.39,overcast clouds,0.5333,72.9333,
520,Komsomolskiy,UZ,74.12,overcast clouds,40.4272,71.7189,Ikathouse
522,Muisne,EC,76.98,overcast clouds,0.6,-80.0333,Quinta Samay
525,Yumen,CN,82.81,clear sky,40.2833,97.2,
527,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
529,Saposoa,PE,73.18,broken clouds,-6.934,-76.7716,Hostal Primavera
533,Pauini,BR,72.37,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
534,Dhidhdhoo,MV,85.95,overcast clouds,6.8833,73.1,Dhidhoo beach
535,Maraa,BR,73.98,overcast clouds,-1.8333,-65.3667,
536,Moultrie,US,72.82,clear sky,31.1799,-83.7891,Moultrie Inn
537,Sijunjung,ID,79.84,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
538,Vanimo,PG,83.39,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
539,Port Macquarie,AU,75.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
541,Ciudad Bolivar,VE,81.01,broken clouds,8.1222,-63.5497,Hotel Edi
542,Cantanhede,BR,73.58,overcast clouds,-3.6333,-44.3767,HOTEL FE EM DEUS
543,Sola,VU,81.59,broken clouds,-13.8833,167.55,Leumerus Bungalows
544,Manzanillo,CU,76.05,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
545,Salinopolis,BR,76.82,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
548,Maragogi,BR,77.4,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
553,Oyama,JP,74.59,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
554,Xuddur,SO,74.34,few clouds,4.1213,43.8894,Banjanay Hotel
555,Seguin,US,77.43,clear sky,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
560,Ambanja,MG,73.4,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
561,Benxi,CN,75.52,scattered clouds,41.2886,123.765,Yaju Business Hotel
563,Garowe,SO,81.36,light rain,8.4054,48.4845,Curubo Hotel
564,Diu,IN,86.47,clear sky,20.7141,70.9822,Hotel Relax Inn
565,Hilton Head Island,US,75.25,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
568,Jiaonan,CN,73.99,clear sky,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
571,Abu Zabad,SD,79.47,broken clouds,12.35,29.25,حامد محمد نور
572,Phan Thiet,VN,86.13,scattered clouds,10.9333,108.1,Hotel Saigon-PT
575,Pabna,BD,83.28,clear sky,24.0,89.25,Hotel Dream Palace International
577,Gamba,GA,76.51,scattered clouds,-2.65,10.0,
578,Sao Gabriel Da Cachoeira,BR,72.86,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
583,Pontianak,ID,87.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
586,Merauke,ID,87.15,overcast clouds,-8.4667,140.3333,
588,Galle,LK,84.38,overcast clouds,6.0367,80.217,Amangalla
590,Jeremie,HT,78.22,clear sky,18.65,-74.1167,Auberge’Inn
594,Ahuimanu,US,78.51,shower rain,21.4447,-157.8378,Paradise Bay Resort
598,Newcastle,AU,79.09,few clouds,-32.9272,151.7765,NOAH'S on the beach
599,Saint-Paul,RE,77.36,scattered clouds,-21.0096,55.2707,Boucan Canot
601,Aswan,EG,81.01,clear sky,24.0934,32.907,Nuba Nile
603,Gao,ML,82.31,scattered clouds,16.6362,1.637,
604,Lahaina,US,76.24,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
605,Sungaipenuh,ID,71.11,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
606,Tabou,CI,80.01,clear sky,4.423,-7.3528,hotêl doufoulougou
618,Vung Tau,VN,84.72,few clouds,10.346,107.0843,Seaside Resort
619,Macau,MO,85.86,clear sky,22.2006,113.5461,Grand Emperor Hotel
622,Touros,BR,78.28,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
626,Beinamar,TD,77.38,overcast clouds,8.6698,15.3813,
627,Russell,US,74.8,clear sky,32.3502,-85.1999,Macs
629,Jacksonville,US,75.31,thunderstorm,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
634,Ouro Preto Do Oeste,BR,71.82,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
639,Boende,CD,70.48,overcast clouds,-0.2167,20.8667,
641,Mawlaik,MM,76.77,overcast clouds,23.6333,94.4167,AKZ Guest House
648,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
649,Alice Springs,AU,76.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
650,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
655,Kawalu,ID,83.64,broken clouds,-7.3817,108.2082,West Jontor
657,Sydney,AU,79.75,clear sky,-33.8679,151.2073,The Grace Sydney
659,Boromo,BF,87.3,broken clouds,11.75,-2.9333,Sama Camp
662,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
663,Tulum,MX,78.06,clear sky,20.2167,-87.4667,Kin Ha Tulum
664,Mangrol,IN,85.33,clear sky,21.1167,70.1167,Hotel The Royal Honours
669,Perur,IN,85.69,haze,10.9667,76.9,MIST PROPERTIES
671,Porto Walter,BR,74.34,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
