City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Andenes,NO,69.3143,16.1194,33.78,60,100,24.16,overcast clouds
210,Kavaratti,IN,10.5669,72.642,85.8,68,100,9.95,overcast clouds
211,Georgetown,MY,5.4112,100.3354,87.73,78,20,5.01,few clouds
212,Upernavik,GL,72.7868,-56.1549,-2.16,99,72,4.38,broken clouds
213,Sorland,NO,67.667,12.6934,34.86,58,100,5.32,overcast clouds
214,Ordu,TR,40.9086,37.6845,39.7,92,87,2.93,overcast clouds
215,Aksay,RU,47.26,39.87,43.02,76,79,5.26,broken clouds
216,Tezpur,IN,26.6333,92.8,79.5,65,78,11.95,broken clouds
217,Coquimbo,CL,-29.9533,-71.3436,51.53,100,100,1.14,fog
218,General Roca,AR,-39.0333,-67.5833,54.63,33,5,4.41,clear sky
219,Laguna,US,38.421,-121.4238,73.54,41,0,0.0,clear sky
220,Basoko,CD,1.2391,23.616,72.27,94,100,2.57,overcast clouds
221,Mar Del Plata,AR,-38.0023,-57.5575,49.87,79,0,11.99,clear sky
222,Ponta Do Sol,PT,32.6667,-17.1,63.23,66,14,5.73,few clouds
223,Megion,RU,61.0296,76.1136,41.02,49,56,17.49,broken clouds
224,Dikson,RU,73.5069,80.5464,11.68,90,19,4.72,few clouds
225,Camana,PE,-16.6228,-72.7111,66.96,84,43,6.58,scattered clouds
226,Usinsk,RU,65.9939,57.5281,34.61,92,80,16.46,broken clouds
227,Port Hedland,AU,-20.3167,118.5667,93.25,31,0,18.41,clear sky
228,Bontang,ID,0.1333,117.5,86.36,64,95,4.61,overcast clouds
229,Leningradskiy,RU,69.3833,178.4167,21.45,86,78,3.65,broken clouds
230,Tura,IN,25.5198,90.2201,84.65,50,4,1.25,clear sky
231,Ballina,AU,-28.8667,153.5667,77.02,75,100,8.05,overcast clouds
232,Bahia Blanca,AR,-38.7196,-62.2724,56.57,49,4,16.15,clear sky
233,Greytown,ZA,-29.0642,30.5928,49.78,78,0,2.57,clear sky
234,San Cristobal,VE,7.7669,-72.225,78.98,78,56,2.68,broken clouds
235,Makkaveyevo,RU,51.7533,113.9454,58.42,14,98,14.25,overcast clouds
236,Miajadas,ES,39.1513,-5.9084,51.84,80,15,5.1,few clouds
237,Sandviken,SE,60.6167,16.7667,27.55,46,41,1.99,scattered clouds
238,Hobyo,SO,5.3505,48.5268,82.83,63,68,9.08,light rain
239,Nouadhibou,MR,20.931,-17.0347,64.38,82,0,18.41,clear sky
240,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,78,100,3.13,overcast clouds
241,Fortuna,US,40.5982,-124.1573,51.66,84,87,1.99,overcast clouds
242,Bilma,NE,18.6853,12.9164,84.13,16,70,9.8,broken clouds
243,Antsohihy,MG,-14.8796,47.9875,74.86,73,0,7.38,clear sky
244,Beloha,MG,-25.1667,45.05,65.61,84,0,10.31,clear sky
245,Luanda,AO,-8.8368,13.2343,74.48,84,7,7.11,clear sky
246,Arauco,CL,-37.2463,-73.3175,53.31,77,93,6.55,overcast clouds
247,Rundu,NA,-17.9333,19.7667,53.28,59,11,6.04,few clouds
248,Huejuquilla El Alto,MX,22.6,-103.8667,61.95,19,98,4.63,overcast clouds
249,Palmer,US,42.1584,-72.3287,52.92,78,98,1.99,overcast clouds
250,Aksu,CN,41.1231,80.2644,78.89,13,100,1.68,overcast clouds
251,Kipit,PH,8.0461,122.5322,85.95,68,88,5.48,overcast clouds
252,Becerril,CO,9.7041,-73.2793,78.73,72,85,5.21,overcast clouds
253,Bandarbeyla,SO,9.4942,50.8122,84.42,75,86,10.07,overcast clouds
254,Karratha,AU,-20.7377,116.8463,89.31,37,0,16.71,clear sky
255,Flin Flon,CA,54.7682,-101.865,29.21,96,100,9.46,overcast clouds
256,Bonnyville,CA,54.2668,-110.735,47.52,85,97,12.35,overcast clouds
257,Bonito,BR,-21.1211,-56.4819,50.9,96,0,3.62,clear sky
258,Cross Lanes,US,38.4204,-81.7907,66.85,96,100,1.01,light rain
259,Faya,SA,18.3851,42.4509,62.71,44,1,3.4,clear sky
260,Krasnorechenskiy,RU,44.6265,135.3532,59.29,30,77,3.15,broken clouds
261,Walvis Bay,NA,-22.9575,14.5053,81.55,29,0,14.97,clear sky
262,Bosanska Krupa,BA,44.8825,16.1514,48.56,85,86,3.69,overcast clouds
263,Teahupoo,PF,-17.8333,-149.2667,75.16,76,49,11.1,light rain
264,Harper,LR,4.375,-7.7169,80.11,80,2,5.1,clear sky
265,Ostrovnoy,RU,68.0531,39.5131,23.25,87,100,16.58,light snow
266,Tilichiki,RU,60.4667,166.1,31.3,96,26,5.17,scattered clouds
267,Burnie,AU,-41.0667,145.9167,59.92,62,97,9.86,overcast clouds
268,Ketchikan,US,55.3422,-131.6461,42.98,88,99,6.58,moderate rain
269,Salamiyah,SY,35.0113,37.0532,66.0,53,0,6.08,clear sky
270,Churapcha,RU,62.0025,132.4325,40.69,82,100,8.61,overcast clouds
271,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,76,75,16.11,broken clouds
272,Kichera,RU,55.9375,110.0997,36.93,84,98,8.23,light rain
273,Fort Collins,US,40.5853,-105.0844,48.65,82,100,11.99,moderate rain
274,Pochutla,MX,15.7432,-96.4661,81.82,67,84,6.2,broken clouds
275,Westport,US,41.1415,-73.3579,52.16,91,100,5.99,overcast clouds
276,Rakiv Lis,UA,51.6217,24.9243,43.23,90,70,7.58,broken clouds
277,Aklavik,CA,68.2191,-135.0107,31.68,93,100,10.4,overcast clouds
278,Nanakuli,US,21.3906,-158.1547,76.37,64,20,6.91,few clouds
279,Yauya,PE,-8.9833,-77.3,46.78,89,34,4.05,scattered clouds
280,Miles City,US,46.4083,-105.8406,55.65,52,99,11.95,overcast clouds
281,Zholymbet,KZ,51.7433,71.7122,50.25,27,62,18.68,broken clouds
282,Ust-Tsilma,RU,65.441,52.1498,33.08,81,84,10.67,broken clouds
283,Gizo,SB,-8.103,156.8419,84.34,71,52,5.23,light rain
284,Ahipara,NZ,-35.1667,173.1667,68.68,64,71,8.72,broken clouds
285,Avarua,CK,-21.2078,-159.775,80.65,83,75,6.91,broken clouds
286,Samarai,PG,-10.6167,150.6667,83.8,73,18,8.86,few clouds
287,Alamos,MX,27.0167,-108.9333,73.4,32,100,2.06,overcast clouds
288,Jaguarao,BR,-32.5661,-53.3758,56.93,89,61,6.8,broken clouds
289,Kirakira,SB,-10.4544,161.9205,83.41,72,32,3.51,scattered clouds
290,Fairbanks,US,64.8378,-147.7164,55.4,38,0,5.75,clear sky
291,Saint George,US,37.1041,-113.5841,65.43,20,0,17.27,clear sky
292,Awjilah,LY,29.1081,21.2869,58.59,61,22,7.54,few clouds
293,Nushki,PK,29.5542,66.0215,80.01,25,0,4.94,clear sky
294,Miquelon,PM,47.0975,-56.3814,40.89,89,100,9.48,overcast clouds
295,Ust-Barguzin,RU,53.45,108.9833,44.06,51,10,4.94,clear sky
296,Leh,IN,34.1667,77.5833,48.83,52,42,5.57,scattered clouds
297,Fort Nelson,CA,58.8053,-122.7002,54.99,47,40,4.61,scattered clouds
298,Puri,IN,19.8,85.85,88.32,77,16,17.47,few clouds
299,Santa Rosa,PH,14.3122,121.1114,93.18,59,34,12.37,scattered clouds
300,Lons-Le-Saunier,FR,46.75,5.75,46.83,93,100,3.24,overcast clouds
301,Turukhansk,RU,65.8167,87.9833,30.24,76,100,20.78,light snow
302,Zhuhai,CN,22.2769,113.5678,86.86,61,0,6.91,clear sky
303,Zhigansk,RU,66.7697,123.3711,28.15,78,100,6.46,overcast clouds
304,Nanchang,CN,28.6833,115.8833,79.48,44,89,2.71,overcast clouds
305,Poum,NC,-20.2333,164.0167,77.63,79,4,7.61,clear sky
306,Vestmannaeyjar,IS,63.4427,-20.2734,36.72,73,28,23.78,scattered clouds
307,Naryan-Mar,RU,67.6713,53.087,25.99,93,100,10.27,overcast clouds
308,Kieta,PG,-6.2167,155.6333,84.13,75,42,5.12,light rain
309,Prince Rupert,CA,54.3161,-130.3201,47.89,93,100,14.97,light rain
310,Gat,IL,31.61,34.7642,66.88,100,63,13.42,broken clouds
311,Henties Bay,NA,-22.116,14.2845,70.83,49,0,3.87,clear sky
312,Tiznit,MA,29.5833,-9.5,52.9,85,85,11.77,overcast clouds
313,Ngunguru,NZ,-35.6167,174.5,65.91,75,76,14.61,broken clouds
314,Jimo,CN,36.3897,120.4622,80.38,41,0,15.66,clear sky
315,Buraydah,SA,26.326,43.975,72.05,17,0,10.13,clear sky
316,Mabaruma,GY,8.2,-59.7833,72.82,100,100,2.24,overcast clouds
317,Shingu,JP,33.7333,135.9833,71.8,51,61,9.13,broken clouds
318,Avera,US,33.194,-82.5271,71.65,80,34,8.03,scattered clouds
319,Havoysund,NO,70.9963,24.6622,28.63,63,100,15.05,light snow
320,Altamira,BR,-3.2033,-52.2064,71.69,100,100,2.82,moderate rain
321,Souillac,MU,-20.5167,57.5167,76.66,82,18,11.74,light rain
322,Algiers,DZ,36.7525,3.042,60.62,88,75,10.36,broken clouds
323,Luderitz,NA,-26.6481,15.1594,65.86,52,0,7.49,clear sky
324,Zeya,RU,53.75,127.2667,47.93,50,99,12.82,overcast clouds
325,Misratah,LY,32.3754,15.0925,66.09,60,45,10.69,scattered clouds
326,Cabo San Lucas,MX,22.8909,-109.9124,74.61,66,49,1.01,scattered clouds
327,Baruun-Urt,MN,46.6806,113.2792,69.19,26,100,13.47,overcast clouds
328,Strezhevoy,RU,60.7333,77.5889,39.49,58,42,10.69,scattered clouds
329,Kwinana,AU,-32.25,115.7667,66.34,55,0,3.0,clear sky
330,Homer,US,59.6425,-151.5483,44.76,86,100,4.0,overcast clouds
331,Nanfeng,CN,23.7434,111.7959,81.54,44,99,2.51,overcast clouds
332,Kavieng,PG,-2.5744,150.7967,84.43,73,56,6.31,light rain
333,Elista,RU,46.3078,44.2558,50.58,57,100,7.0,overcast clouds
334,Yulara,AU,-25.2406,130.9889,75.04,33,74,14.97,broken clouds
335,Marawi,PH,7.9986,124.2928,79.84,73,77,5.37,broken clouds
336,Longyearbyen,SJ,78.2186,15.6401,13.84,62,20,5.75,few clouds
337,Ostersund,SE,63.1792,14.6357,27.05,93,0,3.44,clear sky
338,Kerema,PG,-7.9631,145.7785,80.38,77,100,4.9,light rain
339,Chernyshevskiy,RU,63.0128,112.4714,32.13,85,100,8.23,light snow
340,Pisco,PE,-13.7,-76.2167,64.45,82,15,8.05,mist
341,Pitimbu,BR,-7.4706,-34.8086,77.59,84,38,11.07,scattered clouds
342,Santa Cruz,BO,-17.8,-63.1667,60.26,77,75,5.75,broken clouds
343,Beian,NO,63.6559,9.5683,35.01,80,20,8.05,few clouds
344,Araripe,BR,-7.2125,-40.0461,68.31,91,74,7.47,broken clouds
345,Palafrugell,ES,41.9174,3.1631,52.43,90,55,1.99,broken clouds
346,Taoudenni,ML,22.6783,-3.9836,82.27,15,99,6.91,overcast clouds
347,Yakymivka,UA,46.6897,35.1536,50.0,80,99,4.68,overcast clouds
348,Boundiali,CI,9.5217,-6.4869,73.92,72,80,4.32,broken clouds
349,Emerald,AU,-23.5333,148.1667,82.54,47,12,9.22,few clouds
